1.88291E-05	9.24393E-06	7.13702E-06	2.44196E-06	4.75296E-06	2.03412E-06	2.35749E-07	1.94590E-06	2.64475E-06 1.56583E-06
2.49374E-05	2.47657E-05	1.45246E-05	1.66414E-05	2.09939E-05	1.75078E-05	5.01236E-03	8.84520E-03	9.93349E-03	1.40274E-03
1.76123E-05	2.19157E-05	1.48547E-05	1.67306E-05	1.86718E-05	1.40753E-05	4.49098E-03	8.00189E-03	7.04557E-03	2.24096E-03
2.01654E-05	1.95345E-05	1.34378E-05	1.33801E-05	1.72264E-05	1.19547E-05	4.00928E-03	7.11428E-03	2.99399E-03	3.39966E-03
1.58240E-05	1.85284E-05	1.19098E-05	1.33040E-05	1.56747E-05	1.05161E-05	3.55026E-03	6.28797E-03	1.19819E-03	5.15300E-03
1.49226E-05	1.55712E-05	9.91565E-06	1.08404E-05	1.49342E-05	8.88373E-06	3.15040E-03	5.51156E-03	5.01153E-04	7.91156E-03
1.07919E-05	1.41864E-05	8.69532E-06	1.04061E-05	1.37510E-05	8.18556E-06	2.76209E-03	4.77243E-03	2.25616E-04	1.06220E-02
1.06629E-05	8.90430E-06	8.08013E-06	7.76742E-06	1.07893E-05	6.24346E-06	2.42427E-03	4.13985E-03	1.08165E-04	9.23410E-03
1.08797E-05	1.12610E-05	6.82349E-06	7.39887E-06	9.84221E-06	5.40737E-06	2.13468E-03	3.60796E-03	5.29200E-05	4.15977E-03
8.01948E-06	6.43467E-06	8.56365E-06	6.56847E-06	7.90566E-06	4.99502E-06	1.88238E-03	3.13065E-03	2.86361E-05	1.65727E-03
6.31156E-06	9.92086E-06	5.40959E-06	6.25502E-06	7.41977E-06	5.22830E-06	1.66237E-03	2.70259E-03	1.54999E-05	7.24299E-04
9.16769E-06	5.82351E-06	6.86650E-06	5.00485E-06	7.77619E-06	3.73118E-06	1.44524E-03	2.30334E-03	1.07417E-05	3.27599E-04
6.88636E-06	3.42301E-06	5.12083E-06	5.07538E-06	7.87192E-06	2.43634E-06	1.24906E-03	1.95054E-03	6.63225E-06	1.56379E-04
5.85609E-06	1.90022E-06	3.75885E-06	4.91220E-06	4.73968E-06	2.28943E-06	1.09616E-03	1.67446E-03	6.81352E-06	8.36323E-05
5.99345E-06	2.38019E-06	4.97424E-06	2.92455E-06	2.33254E-06	3.37591E-06	9.58082E-04	1.44710E-03	3.17438E-06	4.89728E-05
1.98518E-06	6.69986E-06	6.74863E-07	4.08466E-06	5.41715E-06	2.82872E-06	8.39201E-04	1.24129E-03	2.36454E-06	3.08827E-05
5.91025E-06	4.28588E-06	4.76542E-06	1.41857E-06	4.47894E-06	1.48942E-06	7.39007E-04	1.05380E-03	3.57664E-06	1.90364E-05
2.29997E-06	1.59511E-07	2.25098E-06	2.98882E-06	3.76686E-06	8.18158E-07	6.40868E-04	9.04131E-04	2.50976E-06	1.41262E-05
6.33771E-06	6.97338E-07	1.01392E-06	4.14113E-06	3.92480E-06	1.35285E-06	5.58550E-04	7.62544E-04	1.40414E-06	1.24134E-05
3.95549E-06	5.02402E-06	2.42877E-06	2.89466E-06	2.66122E-06	1.61605E-06	4.81360E-04	6.37872E-04	7.31764E-07	8.13119E-06
1.08138E-07	1.94825E-06	3.42255E-06	3.05924E-07	1.36982E-06	1.59653E-06	4.13250E-04	5.43830E-04	2.32195E-06	8.40835E-06
1.15118E-06	5.56103E-06	4.24421E-07	2.57908E-06	1.86674E-08	7.23810E-08	3.65874E-04	4.72439E-04	2.21246E-06	4.09118E-06
9.75445E-07	6.95478E-07	2.09143E-06	1.11211E-06	1.84438E-06	3.65227E-07	3.25707E-04	4.10263E-04	7.36295E-08	3.08283E-06
8.11333E-08	2.02319E-06	6.21738E-07	8.90119E-07	1.63018E-06	7.39369E-07	2.89871E-04	3.49735E-04	1.60074E-06	2.28399E-06
2.69446E-06	2.21915E-07	1.16604E-06	6.63949E-07	9.15584E-07	1.40770E-06	2.58982E-04	3.07764E-04	1.82996E-06	3.60165E-06
1.40791E-06	1.84986E-06	3.54417E-06	1.24268E-06	2.83096E-06	1.40106E-06	2.29350E-04	2.71958E-04	1.47679E-06	2.02440E-06
5.14926E-06	2.75187E-06	3.54150E-07	1.48289E-06	6.30628E-07	5.86157E-07	2.02167E-04	2.33878E-04	8.85534E-07	1.47328E-06
4.62965E-06	7.00090E-06	2.99111E-07	2.22557E-06	3.83104E-07	1.64483E-06	1.78771E-04	2.02969E-04	1.74533E-06	2.95856E-06
2.41683E-06	8.61046E-08	2.11660E-06	4.26077E-07	2.09607E-06	1.39548E-07	1.58557E-04	1.75438E-04	1.37176E-06	1.37670E-07
4.13783E-06	2.22694E-06	9.93159E-07	3.64194E-07	1.16012E-06	7.65824E-07	1.37399E-04	1.51080E-04	2.66232E-06	9.42620E-07
